file,n,body_tag,f1,f2,f3,f4,identity,packed_offset,packed_size,packed_payload_sha1_8
prosim1.xtc,35,0x15,1.03125,0.6777609586715698,15836.78125,3478.248046875,ID08,13595,115,b80e49a8
prosim1.xtc,36,0x15,0.8093023300170898,0.5586034655570984,16378.859375,3543.88525390625,ID05,13710,308,e2035026
prosim1.xtc,37,0x15,1.03125,0.6777609586715698,13585.78125,4508.248046875,ID08,14018,115,46375df2
prosim1.xtc,38,0x15,0.6397058963775635,0.6637036800384521,14154.712890625,4498.0380859375,ID04,14133,233,7b109793
prosim1.xtc,39,0x15,0.818823516368866,0.5490196347236633,14559.2939453125,4562.1171875,ID03,14366,341,8f8a7357
prosim1.xtc,40,0x15,0.8508557677268982,0.6103542447090149,15044.6796875,4553.4609375,ID01,14707,415,c8fe860d
prosim1.xtc,41,0x15,0.8074246048927307,0.5699745416641235,15464.56640625,4574.4931640625,ID02,15122,250,87a84c4f
prosim1.xtc,42,0x15,1.0192307233810425,1.0144927501678467,15791.115234375,4284.203125,ID10,15372,89,e0f2c45b
prosim1.xtc,43,0x15,0.818823516368866,0.5833333134651184,16393.68359375,4557.4169921875,ID03,15461,309,7b27e4bf
prosim1.xtc,44,0x15,0.8074246048927307,0.5699745416641235,16814.56640625,4574.4931640625,ID02,15770,254,e1b8055b
prosim1.xtc,45,0x12,2.800361156463623,2.8004164695739746,,,SEP,16024,337,36d63d52
prosim1.xtc,46,0x15,0.8093023300170898,0.5586034655570984,14247.8603515625,6017.88525390625,ID05,16361,308,f6388bd8
prosim1.xtc,47,0x15,0.8508557677268982,0.6103542447090149,14714.6796875,5997.46044921875,ID01,16669,415,4e014011
prosim1.xtc,48,0x15,0.9666666388511658,0.5941644310951233,15152.2666015625,6010.87548828125,ID07,17084,287,1442bfeb
prosim1.xtc,49,0x15,0.8093023300170898,0.5586034655570984,15597.8603515625,6017.88525390625,ID05,17371,308,7d67e1c5
prosim1.xtc,50,0x15,0.818823516368866,0.5490196347236633,16029.2939453125,6006.11767578125,ID03,17679,341,039bc17f
prosim1.xtc,51,0x15,1.0192307233810425,1.0144927501678467,16361.115234375,5728.203125,ID10,18020,89,3c97c904
prosim1.xtc,52,0x15,0.818823516368866,0.5490196347236633,16929.294921875,6006.11767578125,ID03,18109,2407,123488b1
prosim1.xtc,53,0x12,2.800361156463623,2.800351142883301,,,SEP,20516,793,f6e68ef2
prosim1.xtc,54,0x15,0.7750557065010071,0.6170799136161804,2379.81298828125,14390.7353515625,ID06,21309,378,75a0ff38
prosim1.xtc,55,0x15,1.0192307233810425,1.0144927501678467,2675.115478515625,14115.203125,ID10,21687,89,71a29816
prosim1.xtc,56,0x15,1.03125,0.6777609586715698,3169.78125,14339.248046875,ID08,21776,115,d547e961
prosim1.xtc,57,0x15,0.6397058963775635,0.6637036800384521,3738.713134765625,14329.0380859375,ID04,21891,233,8350ae05
prosim1.xtc,58,0x15,0.8508557677268982,0.6103542447090149,4178.6796875,14384.4609375,ID01,22124,1152,61f9c51a
prosim1.xtc,59,0x15,0.8074246048927307,0.5699745416641235,9513.56640625,13429.4931640625,ID02,23276,250,28f7a5eb
prosim1.xtc,60,0x15,1.03125,0.6777609586715698,9884.78125,13363.248046875,ID08,23526,115,d49e46d4
prosim1.xtc,61,0x15,0.818823516368866,0.5833333134651184,10442.6845703125,13412.4169921875,ID03,23641,309,9fe49c7e
prosim1.xtc,62,0x15,0.818823516368866,0.5490196347236633,10858.2939453125,13417.1171875,ID03,23950,347,b8f03fbb
prosim1.xtc,63,0x12,2.8004531860351562,2.7999753952026367,,,SEP,24297,682,e454af27
